Id,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
C00001034,WI,91,area_code_510,no,no,0,217.9,71,37.04,230.1,116,19.56,232.1,110,10.44,10.6,2,2.86,1,no
C00001038,AZ,163,area_code_510,no,no,0,178.7,56,30.38,215.7,79,18.33,152.7,84,6.87,10.6,2,2.86,4,no
C00001039,NE,91,area_code_510,no,no,0,159.0,109,27.03,255.1,142,21.68,82.4,73,3.71,10.1,4,2.73,0,no
C00001043,TN,108,area_code_510,no,yes,34,162.1,83,27.56,171.8,117,14.6,259.8,76,11.69,9.6,3,2.59,4,yes
C00001045,ND,136,area_code_510,yes,no,0,256.8,90,43.66,230.1,104,19.56,143.6,82,6.46,9.1,10,2.46,3,no
C00001046,NC,45,area_code_408,no,yes,38,196.8,92,33.46,254.2,108,21.61,261.8,85,11.78,7.7,2,2.08,1,no
C00001049,MA,132,area_code_415,no,no,0,117.6,66,19.99,214.0,108,18.19,239.5,94,10.78,8.8,5,2.38,1,no
C00001070,ND,81,area_code_408,yes,yes,37,237.1,76,40.31,264.2,125,22.46,271.3,120,12.21,7.9,3,2.13,1,no
C00001077,NY,163,area_code_408,no,no,0,247.7,77,42.11,269.5,108,22.91,167.3,82,7.53,9.6,7,2.59,0,yes
C00001078,KS,87,area_code_510,no,no,0,115.4,90,19.62,262.6,68,22.32,245.7,69,11.06,13.1,5,3.54,2,no
C00001082,UT,144,area_code_415,no,no,0,139.6,96,23.73,124.2,93,10.56,95.6,75,4.3,15.0,4,4.05,2,no
C00001087,OR,129,area_code_408,no,no,0,98.0,99,16.66,240.7,62,20.46,254.8,123,11.47,10.5,4,2.84,0,no
C00001096,AZ,141,area_code_510,no,yes,22,215.4,123,36.62,328.7,98,27.94,160.5,89,7.22,7.8,6,2.11,1,no
C00001098,CT,137,area_code_415,no,no,0,115.0,130,19.55,137.8,83,11.71,224.0,61,10.08,7.3,4,1.97,3,no
C00001109,TN,103,area_code_415,no,no,0,141.3,123,24.02,253.6,87,21.56,215.8,96,9.71,6.4,2,1.73,1,no
C00001119,DE,2,area_code_415,yes,no,0,132.1,42,22.46,138.9,88,11.81,192.6,119,8.67,9.1,1,2.46,2,yes
C00001122,ID,193,area_code_415,no,no,0,96.8,92,16.46,142.6,103,12.12,210.1,115,9.45,10.9,5,2.94,2,yes
C00001124,MT,185,area_code_408,no,yes,29,151.1,121,25.69,244.7,88,20.8,154.4,91,6.95,13.8,2,3.73,2,no
C00001125,OK,101,area_code_408,no,no,0,209.6,107,35.63,228.8,96,19.45,172.4,85,7.76,7.6,2,2.05,3,no
C00001140,NC,111,area_code_408,no,no,0,224.9,117,38.23,191.9,127,16.31,229.9,97,10.35,10.3,3,2.78,0,no
C00001141,VT,59,area_code_408,no,no,0,151.8,98,25.81,209.9,92,17.84,266.9,86,12.01,11.9,5,3.21,1,no
C00001142,KY,71,area_code_510,no,yes,22,141.4,107,24.04,163.0,105,13.86,220.0,99,9.9,5.6,3,1.51,2,no
C00001148,TX,50,area_code_408,no,yes,31,302.7,93,51.46,240.5,119,20.44,193.9,103,8.73,13.6,14,3.67,3,no
C00001153,WY,64,area_code_415,no,no,0,206.2,76,35.05,232.4,76,19.75,251.6,96,11.32,13.6,2,3.67,1,no
C00001154,WV,63,area_code_510,no,no,0,132.9,122,22.59,67.0,62,5.7,160.4,121,7.22,9.9,2,2.67,3,no
C00001157,UT,162,area_code_408,no,no,0,184.5,118,31.37,224.0,95,19.04,180.5,82,8.12,11.6,3,3.13,1,no
C00001172,NJ,45,area_code_510,no,no,0,155.7,110,26.47,260.3,103,22.13,192.2,98,8.65,11.0,1,2.97,1,no
C00001194,NH,133,area_code_408,no,no,0,162.1,91,27.56,212.1,94,18.03,260.4,78,11.72,12.2,5,3.29,1,no
C00001196,MT,131,area_code_415,no,yes,24,135.9,60,23.1,233.2,78,19.82,210.6,121,9.48,9.4,4,2.54,1,no
C00001221,WV,79,area_code_415,no,no,0,222.3,99,37.79,146.2,82,12.43,275.6,82,12.4,8.9,4,2.4,3,no
C00001224,GA,160,area_code_415,no,no,0,174.3,105,29.63,171.3,107,14.56,220.8,131,9.94,8.3,2,2.24,0,no
C00001227,NV,93,area_code_408,no,no,0,114.3,100,19.43,221.1,103,18.79,126.3,88,5.68,10.9,9,2.94,0,no
C00001228,VA,77,area_code_510,no,no,0,144.9,136,24.63,151.3,115,12.86,252.4,73,11.36,12.3,3,3.32,2,no
C00001229,UT,105,area_code_415,no,yes,40,236.5,111,40.21,117.0,110,9.95,221.1,115,9.95,8.1,3,2.19,2,no
C00001231,MO,131,area_code_408,no,no,0,109.5,95,18.62,332.1,48,28.23,258.6,108,11.64,6.6,7,1.78,1,no
C00001232,HI,118,area_code_415,no,no,0,133.4,113,22.68,121.0,92,10.29,254.7,129,11.46,5.9,4,1.59,1,no
C00001238,ID,87,area_code_415,no,no,0,156.8,93,26.66,215.8,68,18.34,223.3,77,10.05,7.6,6,2.05,1,no
C00001260,NY,64,area_code_408,no,no,0,219.6,126,37.33,303.3,100,25.78,154.5,65,6.95,9.7,5,2.62,1,no
C00001261,IA,129,area_code_415,no,no,0,216.0,85,36.72,186.9,114,15.89,210.7,109,9.48,4.9,10,1.32,2,no
C00001262,VT,128,area_code_510,no,yes,32,222.9,136,37.89,262.0,80,22.27,191.4,101,8.61,10.8,4,2.92,0,no
C00001263,LA,81,area_code_415,no,yes,36,115.9,120,19.7,236.6,95,20.11,255.0,90,11.48,11.7,6,3.16,3,no
C00001264,MT,114,area_code_510,no,no,0,189.8,101,32.27,147.7,80,12.55,172.7,121,7.77,10.6,5,2.86,1,no
C00001268,SC,64,area_code_510,no,yes,40,210.0,116,35.7,232.7,89,19.78,168.8,94,7.6,5.9,4,1.59,8,no
C00001282,KY,108,area_code_415,no,yes,35,169.8,136,28.87,173.7,101,14.76,214.6,105,9.66,9.5,7,2.57,2,no
C00001287,IA,36,area_code_510,no,no,0,117.1,94,19.91,235.4,117,20.01,221.3,108,9.96,9.0,2,2.43,0,no
C00001288,OH,143,area_code_415,no,no,0,223.3,99,37.96,167.1,128,14.2,203.0,84,9.14,4.5,4,1.22,0,yes
C00001293,WY,127,area_code_510,yes,no,0,242.2,102,41.17,226.1,80,19.22,252.0,96,11.34,13.9,5,3.75,2,yes
C00001294,ME,99,area_code_415,no,no,0,222.4,102,37.81,185.8,89,15.79,237.7,81,10.7,12.0,8,3.24,2,no
C00001310,MN,52,area_code_415,no,yes,32,130.1,68,22.12,247.2,77,21.01,289.4,87,13.02,13.5,5,3.65,2,no
C00001315,CA,37,area_code_415,no,no,0,191.1,69,32.49,129.2,113,10.98,207.5,117,9.34,12.9,1,3.48,0,no
C00001316,MN,161,area_code_415,no,yes,39,218.5,76,37.15,112.7,94,9.58,205.1,121,9.23,7.3,4,1.97,1,no
C00001318,CT,123,area_code_415,no,no,0,128.7,126,21.88,117.6,94,10.0,198.4,132,8.93,10.8,5,2.92,0,no
C00001319,WV,80,area_code_415,no,yes,38,236.6,69,40.22,197.5,68,16.79,209.5,102,9.43,9.5,10,2.57,2,no
C00001325,MA,57,area_code_510,no,no,0,154.2,78,26.21,196.7,85,16.72,253.5,97,11.41,10.1,9,2.73,1,no
C00001331,HI,106,area_code_415,no,no,0,147.9,97,25.14,209.3,99,17.79,162.1,80,7.29,8.8,5,2.38,2,no
C00001333,WI,120,area_code_415,no,yes,29,244.3,140,41.53,322.3,89,27.4,166.8,83,7.51,10.6,6,2.86,0,no
C00001336,MT,94,area_code_510,no,no,0,163.5,136,27.8,143.7,111,12.21,253.4,82,11.4,12.6,5,3.4,1,no
C00001339,VA,128,area_code_415,no,no,0,216.0,111,36.72,153.7,115,13.06,227.0,74,10.22,12.7,4,3.43,1,no
C00001340,NC,115,area_code_415,yes,no,0,180.0,119,30.6,198.8,126,16.9,217.1,70,9.77,12.4,3,3.35,1,no
C00001346,AR,63,area_code_510,no,yes,49,214.9,86,36.53,198.2,89,16.85,170.8,139,7.69,8.2,5,2.21,0,no
C00001354,IA,73,area_code_415,no,no,0,137.1,102,23.31,210.8,114,17.92,191.4,120,8.61,11.1,4,3.0,1,no
C00001357,OR,163,area_code_408,no,yes,25,219.6,99,37.33,210.4,99,17.88,242.7,88,10.92,13.8,8,3.73,2,no
C00001359,RI,104,area_code_408,yes,no,0,160.4,73,27.27,293.9,103,24.98,306.6,90,13.8,12.6,5,3.4,4,no
C00001364,TX,71,area_code_415,no,yes,39,183.2,103,31.14,209.4,111,17.8,172.4,109,7.76,11.9,6,3.21,1,no
C00001367,KS,117,area_code_415,no,no,0,184.8,83,31.42,248.6,101,21.13,133.1,113,5.99,9.6,8,2.59,1,no
C00001368,ME,130,area_code_408,no,no,0,176.3,140,29.97,201.0,104,17.09,161.9,123,7.29,11.3,5,3.05,1,no
C00001369,RI,73,area_code_415,no,no,0,241.7,115,41.09,168.5,133,14.32,169.8,122,7.64,11.1,2,3.0,2,no
C00001376,KY,112,area_code_415,no,no,0,170.5,113,28.99,193.2,129,16.42,188.0,91,8.46,11.2,6,3.02,0,no
C00001377,NY,87,area_code_415,no,no,0,204.8,101,34.82,161.0,80,13.69,285.7,89,12.86,9.5,3,2.57,0,no
C00001379,CO,74,area_code_415,no,no,0,225.2,93,38.28,215.1,120,18.28,241.8,95,10.88,9.1,2,2.46,2,no
C00001382,TN,68,area_code_415,no,no,0,222.8,99,37.88,175.8,85,14.94,202.0,111,9.09,11.0,3,2.97,3,no
C00001389,VA,102,area_code_510,no,no,0,174.5,79,29.67,236.8,136,20.13,270.4,110,12.17,8.5,5,2.3,0,no
C00001395,WI,84,area_code_510,no,yes,12,89.7,87,15.25,138.6,73,11.78,165.8,114,7.46,10.7,2,2.89,1,no
C00001400,SD,128,area_code_415,no,no,0,247.3,91,42.04,182.7,60,15.53,143.2,112,6.44,14.7,2,3.97,3,no
C00001403,WV,191,area_code_408,no,no,0,162.0,104,27.54,241.2,120,20.5,210.4,83,9.47,10.9,7,2.94,1,no
C00001413,WA,83,area_code_408,no,no,0,134.8,96,22.92,167.2,78,14.21,161.5,123,7.27,7.7,5,2.08,2,no
C00001422,MN,98,area_code_415,no,no,0,72.8,107,12.38,186.4,103,15.84,175.3,110,7.89,10.5,4,2.84,3,no
C00001424,OR,95,area_code_415,no,no,0,269.0,120,45.73,233.7,120,19.86,179.3,61,8.07,7.3,4,1.97,2,yes
C00001430,FL,133,area_code_510,no,no,0,201.7,85,34.29,169.4,116,14.4,286.3,80,12.88,6.0,4,1.62,0,no
C00001431,TX,133,area_code_408,no,no,0,221.1,133,37.59,160.2,140,13.62,161.8,84,7.28,8.4,3,2.27,4,no
C00001439,ID,92,area_code_415,no,yes,23,167.4,83,28.46,258.6,129,21.98,116.4,110,5.24,11.2,3,3.02,4,no
C00001441,OH,146,area_code_415,no,no,0,169.5,93,28.82,230.9,71,19.63,269.8,115,12.14,9.0,7,2.43,2,no
C00001444,NE,99,area_code_415,no,no,0,200.0,66,34.0,107.9,104,9.17,233.7,82,10.52,11.4,2,3.08,3,no
C00001445,NC,83,area_code_510,no,yes,36,95.9,87,16.3,261.6,105,22.24,228.6,109,10.29,13.3,4,3.59,0,no
C00001449,HI,104,area_code_408,no,no,0,170.6,97,29.0,162.1,111,13.78,210.7,131,9.48,6.1,1,1.65,1,no
C00001452,MN,99,area_code_408,no,no,0,128.8,86,21.9,203.9,105,17.33,282.6,131,12.72,14.1,4,3.81,2,no
C00001456,HI,97,area_code_415,no,yes,43,121.1,105,20.59,260.2,115,22.12,222.4,100,10.01,8.3,5,2.24,3,no
C00001457,WA,130,area_code_510,no,no,0,124.3,70,21.13,270.7,99,23.01,239.5,83,10.78,3.5,6,0.95,0,no
C00001464,ND,153,area_code_415,no,yes,31,218.5,130,37.15,134.2,103,11.41,118.9,105,5.35,9.4,6,2.54,0,no
C00001467,ND,35,area_code_415,no,no,0,260.8,87,44.34,258.1,78,21.94,131.3,123,5.91,5.8,2,1.57,1,no
C00001469,MN,68,area_code_510,no,no,0,226.7,94,38.54,168.4,129,14.31,188.7,117,8.49,10.2,1,2.75,0,no
C00001471,ME,23,area_code_510,no,no,0,113.1,74,19.23,168.8,95,14.35,262.9,126,11.83,6.9,2,1.86,1,yes
C00001476,MO,80,area_code_408,yes,yes,15,159.3,110,27.08,170.6,120,14.5,141.2,82,6.35,11.9,5,3.21,1,no
C00001482,HI,146,area_code_510,no,no,0,189.3,77,32.18,155.9,128,13.25,186.0,83,8.37,7.4,3,2.0,0,no
C00001484,CT,77,area_code_415,no,no,0,245.2,87,41.68,254.1,83,21.6,239.4,91,10.77,7.5,4,2.03,0,yes
C00001489,NC,114,area_code_408,no,no,0,193.0,101,32.81,250.0,81,21.25,133.3,79,6.0,9.6,2,2.59,2,no
C00001498,TX,201,area_code_415,no,yes,21,192.0,97,32.64,239.1,81,20.32,116.1,125,5.22,15.1,3,4.08,1,no
C00001506,GA,133,area_code_510,no,no,0,227.4,90,38.66,73.2,135,6.22,114.3,99,5.14,4.7,7,1.27,0,no
C00001511,NY,54,area_code_415,no,no,0,286.6,73,48.72,223.2,108,18.97,203.7,107,9.17,11.5,5,3.11,1,yes
C00001514,WV,92,area_code_415,no,yes,47,141.6,95,24.07,207.9,130,17.67,203.6,95,9.16,10.2,11,2.75,0,no
C00001520,MD,107,area_code_415,no,no,0,241.9,102,41.12,126.9,117,10.79,185.6,92,8.35,11.7,6,3.16,0,no
C00001526,CO,156,area_code_408,yes,no,0,277.0,119,47.09,238.3,106,20.26,94.4,96,4.25,8.3,3,2.24,1,no
C00001533,NE,56,area_code_510,no,no,0,121.6,84,20.67,165.3,115,14.05,243.9,95,10.98,8.9,2,2.4,1,no
C00001537,KS,138,area_code_510,no,yes,26,183.9,83,31.26,240.7,93,20.46,185.7,125,8.36,15.0,3,4.05,1,no
C00001539,WI,102,area_code_408,no,no,0,200.6,106,34.1,152.5,127,12.96,199.4,128,8.97,7.7,2,2.08,3,no
C00001541,VA,102,area_code_408,no,no,0,156.5,67,26.61,204.3,103,17.37,141.9,72,6.39,9.9,2,2.67,2,no
C00001552,OR,87,area_code_510,no,yes,22,240.8,102,40.94,75.9,106,6.45,224.6,115,10.11,7.1,3,1.92,2,no
C00001559,WY,54,area_code_408,no,yes,39,143.9,73,24.46,210.3,117,17.88,129.2,117,5.81,12.5,8,3.38,2,no
C00001561,PA,119,area_code_408,no,no,0,287.1,115,48.81,159.3,99,13.54,216.8,86,9.76,13.9,1,3.75,2,yes
C00001567,CO,86,area_code_408,no,no,0,171.8,106,29.21,301.7,44,25.64,139.4,108,6.27,9.7,5,2.62,1,no
C00001569,IL,116,area_code_510,no,no,0,164.6,110,27.98,270.6,103,23.0,230.4,109,10.37,8.0,3,2.16,0,no
C00001571,MA,119,area_code_408,yes,yes,16,147.2,103,25.02,160.1,96,13.61,184.0,120,8.28,7.7,2,2.08,0,yes
C00001575,MI,146,area_code_408,no,no,0,149.3,83,25.38,187.1,130,15.9,149.8,100,6.74,7.9,4,2.13,7,yes
C00001577,NH,142,area_code_408,yes,yes,25,191.1,109,32.49,149.6,120,12.72,227.8,60,10.25,9.8,3,2.65,0,no
C00001605,VT,159,area_code_415,no,no,0,275.8,103,46.89,189.5,108,16.11,223.9,93,10.08,7.4,5,2.0,2,yes
C00001616,VT,195,area_code_415,no,yes,36,231.7,110,39.39,225.1,88,19.13,201.7,89,9.08,12.1,2,3.27,0,no
C00001618,CO,118,area_code_408,no,no,0,188.8,60,32.1,217.4,64,18.48,220.1,100,9.9,8.2,7,2.21,4,no
C00001629,ME,39,area_code_408,no,no,0,154.1,104,26.2,204.2,112,17.36,196.2,92,8.83,9.8,4,2.65,2,no
C00001632,WY,70,area_code_415,no,no,0,175.4,130,29.82,159.5,130,13.56,260.6,96,11.73,11.6,4,3.13,0,no
C00001638,MD,108,area_code_415,yes,yes,42,130.1,90,22.12,167.0,128,14.2,244.7,80,11.01,13.6,5,3.67,3,yes
C00001639,VA,90,area_code_415,no,no,0,102.0,118,17.34,113.3,134,9.63,188.6,105,8.49,11.4,3,3.08,2,no
C00001644,MO,42,area_code_415,no,no,0,184.5,98,31.37,200.5,93,17.04,279.2,91,12.56,8.8,3,2.38,2,no
C00001647,WA,107,area_code_415,no,no,0,230.4,65,39.17,257.4,80,21.88,107.3,88,4.83,8.5,3,2.3,1,no
C00001659,RI,116,area_code_510,no,no,0,137.4,126,23.36,120.0,94,10.2,130.3,64,5.86,12.4,2,3.35,3,no
C00001672,CO,85,area_code_510,no,yes,21,283.2,110,48.14,239.7,108,20.37,149.5,80,6.73,6.3,1,1.7,5,no
C00001678,ME,66,area_code_510,no,no,0,118.0,133,20.06,248.1,99,21.09,214.4,122,9.65,5.3,5,1.43,1,no
C00001685,AZ,59,area_code_408,no,no,0,150.2,70,25.53,185.7,98,15.78,212.5,128,9.56,12.1,2,3.27,1,no
C00001690,NV,118,area_code_510,no,yes,35,256.3,119,43.57,258.1,91,21.94,215.5,130,9.7,11.7,1,3.16,1,no
C00001694,WY,160,area_code_408,no,no,0,82.7,116,14.06,194.6,95,16.54,159.0,54,7.15,10.9,9,2.94,0,no
C00001700,AR,91,area_code_510,no,yes,27,204.6,96,34.78,136.0,93,11.56,210.5,82,9.47,6.6,2,1.78,3,no
C00001702,OK,86,area_code_415,no,yes,33,253.1,112,43.03,210.1,94,17.86,95.0,98,4.27,11.9,4,3.21,3,no
C00001703,TX,82,area_code_415,no,no,0,130.0,110,22.1,185.3,88,15.75,178.7,105,8.04,8.3,4,2.24,0,no
C00001705,IL,134,area_code_408,no,no,0,183.8,111,31.25,123.5,92,10.5,160.7,105,7.23,6.1,2,1.65,1,no
C00001707,SD,87,area_code_510,no,no,0,184.5,81,31.37,172.0,103,14.62,183.4,96,8.25,13.7,3,3.7,3,no
C00001712,OK,87,area_code_415,no,no,0,205.2,106,34.88,99.5,122,8.46,189.5,75,8.53,13.4,3,3.62,1,no
C00001713,SC,159,area_code_415,no,yes,23,153.6,93,26.11,216.9,88,18.44,161.3,91,7.26,12.6,3,3.4,2,no
C00001714,IN,119,area_code_510,no,no,0,154.5,129,26.27,193.6,87,16.46,180.9,145,8.14,13.4,3,3.62,2,no
C00001715,NV,69,area_code_415,no,no,0,153.7,109,26.13,194.0,105,16.49,256.1,114,11.52,14.1,6,3.81,1,no
C00001716,IL,87,area_code_408,yes,yes,36,171.2,138,29.1,185.8,102,15.79,227.6,97,10.24,10.8,3,2.92,1,no
C00001728,MS,121,area_code_415,no,yes,21,126.3,84,21.47,209.6,102,17.82,192.5,129,8.66,10.6,2,2.86,1,no
C00001732,MT,80,area_code_510,yes,yes,30,184.2,132,31.31,167.5,109,14.24,212.8,114,9.58,10.0,10,2.7,0,no
C00001735,SD,103,area_code_510,no,no,0,206.5,125,35.11,180.2,113,15.32,220.6,95,9.93,12.2,4,3.29,3,no
C00001739,IL,55,area_code_415,yes,no,0,269.6,121,45.83,171.7,91,14.59,219.0,98,9.86,8.2,6,2.21,1,no
C00001741,NH,90,area_code_408,no,no,0,140.2,97,23.83,213.9,102,18.18,120.0,126,5.4,7.1,2,1.92,1,no
C00001747,SD,125,area_code_510,no,yes,34,268.4,112,45.63,222.2,108,18.89,117.6,102,5.29,10.3,3,2.78,0,no
C00001754,OR,53,area_code_408,no,no,0,261.2,119,44.4,250.8,105,21.32,176.0,112,7.92,9.8,2,2.65,0,yes
C00001763,AZ,100,area_code_415,no,no,0,131.1,108,22.29,176.2,81,14.98,89.7,81,4.04,4.3,4,1.16,1,no
C00001765,MO,109,area_code_415,no,no,0,200.1,72,34.02,300.9,120,25.58,236.0,68,10.62,11.9,5,3.21,0,no
C00001769,MS,136,area_code_415,no,yes,24,174.6,76,29.68,176.6,114,15.01,214.4,91,9.65,8.8,5,2.38,2,no
C00001771,WY,146,area_code_408,no,no,0,109.0,69,18.53,265.8,98,22.59,228.3,80,10.27,12.6,2,3.4,1,no
C00001772,NE,105,area_code_408,no,no,0,162.3,99,27.59,212.5,95,18.06,214.7,114,9.66,11.1,8,3.0,4,no
C00001783,AK,110,area_code_415,no,no,0,148.4,95,25.23,193.8,98,16.47,206.0,106,9.27,6.9,6,1.86,0,no
C00001793,NC,126,area_code_415,no,no,0,103.7,93,17.63,127.0,107,10.8,329.3,66,14.82,14.4,1,3.89,0,no
C00001801,UT,81,area_code_510,no,no,0,154.5,84,26.27,216.2,91,18.38,229.8,82,10.34,13.7,3,3.7,1,no
C00001807,VT,46,area_code_408,no,no,0,196.7,85,33.44,205.9,74,17.5,216.6,112,9.75,11.2,5,3.02,3,no
C00001823,NM,105,area_code_415,no,no,0,193.7,108,32.93,183.2,124,15.57,293.7,72,13.22,10.8,5,2.92,1,no
C00001825,NE,126,area_code_415,no,no,0,249.8,96,42.47,261.9,92,22.26,166.8,108,7.51,12.7,4,3.43,3,yes
C00001829,NC,72,area_code_415,no,no,0,137.6,106,23.39,143.5,94,12.2,273.7,110,12.32,9.6,6,2.59,2,no
C00001834,VA,75,area_code_415,no,no,0,224.7,116,38.2,192.0,79,16.32,212.2,98,9.55,11.3,11,3.05,3,no
C00001839,NY,99,area_code_415,no,no,0,182.6,83,31.04,154.5,111,13.13,196.0,57,8.82,12.1,5,3.27,0,no
C00001846,IL,156,area_code_415,no,no,0,174.5,65,29.67,197.4,116,16.78,238.5,86,10.73,10.6,2,2.86,0,no
C00001850,UT,93,area_code_415,no,no,0,164.9,68,28.03,210.4,86,17.88,229.4,104,10.32,7.8,4,2.11,2,no
C00001856,AR,138,area_code_510,no,no,0,146.5,101,24.91,284.5,142,24.18,176.0,98,7.92,14.0,6,3.78,3,no
C00001857,ID,92,area_code_415,no,yes,31,172.3,116,29.29,266.2,91,22.63,228.2,90,10.27,11.8,5,3.19,1,no
C00001858,TX,126,area_code_415,no,no,0,190.9,143,32.45,149.7,72,12.72,191.4,87,8.61,13.0,3,3.51,1,no
C00001860,WA,167,area_code_415,no,no,0,169.2,124,28.76,173.3,108,14.73,216.5,64,9.74,12.4,4,3.35,4,yes
C00001866,DE,136,area_code_408,yes,yes,29,85.2,98,14.48,230.4,85,19.58,243.6,104,10.96,9.0,3,2.43,2,no
C00001869,WA,110,area_code_415,no,no,0,241.2,105,41.0,174.3,85,14.82,245.3,59,11.04,8.5,4,2.3,2,no
C00001874,MS,43,area_code_510,no,no,0,159.5,99,27.12,119.7,149,10.17,173.9,126,7.83,6.8,3,1.84,2,no
C00001877,MN,166,area_code_408,no,no,0,152.1,95,25.86,121.0,105,10.29,198.0,126,8.91,9.8,5,2.65,0,no
C00001882,TX,98,area_code_415,no,no,0,217.2,121,36.92,303.4,73,25.79,197.1,71,8.87,12.4,2,3.35,0,yes
C00001884,AR,58,area_code_415,no,no,0,238.9,107,40.61,187.2,88,15.91,181.1,84,8.15,11.8,3,3.19,2,no
C00001885,MI,116,area_code_408,no,no,0,133.3,94,22.66,247.8,126,21.06,219.0,78,9.86,11.3,5,3.05,5,yes
C00001888,AK,97,area_code_415,no,yes,24,176.1,109,29.94,159.4,81,13.55,269.1,94,12.11,12.1,9,3.27,0,no
C00001891,NH,93,area_code_408,no,no,0,179.3,93,30.48,188.8,65,16.05,253.2,88,11.39,12.1,5,3.27,1,no
C00001899,WA,89,area_code_510,no,no,0,137.9,96,23.44,192.6,63,16.37,255.7,125,11.51,11.0,5,2.97,1,no
C00001909,WI,70,area_code_415,no,no,0,156.4,108,26.59,171.0,116,14.54,196.1,96,8.82,8.6,4,2.32,2,no
C00001915,VT,75,area_code_510,no,no,0,209.4,133,35.6,211.5,121,17.98,291.2,123,13.1,7.2,4,1.94,1,no
C00001916,OH,80,area_code_415,no,no,0,197.6,83,33.59,164.5,86,13.98,94.0,98,4.23,6.4,6,1.73,1,no
C00001924,IN,88,area_code_415,yes,yes,25,288.5,114,49.05,203.4,74,17.29,228.4,117,10.28,13.0,5,3.51,1,no
C00001928,GA,18,area_code_408,no,no,0,197.0,97,33.49,203.7,107,17.31,202.0,105,9.09,8.7,3,2.35,3,no
C00001935,CT,48,area_code_415,no,no,0,171.9,98,29.22,159.0,127,13.52,139.5,101,6.28,7.6,3,2.05,2,no
C00001944,AR,98,area_code_415,no,no,0,227.1,116,38.61,120.5,103,10.24,117.0,102,5.27,4.7,4,1.27,5,yes
C00001948,UT,37,area_code_510,no,no,0,271.7,112,46.19,155.1,96,13.18,199.5,97,8.98,6.6,4,1.78,3,no
C00001958,FL,106,area_code_510,no,no,0,159.6,94,27.13,276.8,118,23.53,223.5,65,10.06,8.8,3,2.38,0,no
C00001964,IL,148,area_code_408,no,yes,25,230.7,102,39.22,233.8,109,19.87,215.8,90,9.71,13.5,2,3.65,3,no
C00001965,WA,141,area_code_415,no,no,0,151.5,104,25.76,242.2,114,20.59,304.2,109,13.69,10.8,2,2.92,1,no
C00001969,CT,135,area_code_415,yes,no,0,186.0,107,31.62,66.0,94,5.61,213.1,105,9.59,12.9,4,3.48,1,no
C00001970,AL,106,area_code_415,no,no,0,212.9,110,36.19,187.0,69,15.9,128.1,71,5.76,6.3,3,1.7,3,no
C00001977,UT,110,area_code_415,no,no,0,271.1,108,46.09,237.0,122,20.15,239.9,122,10.8,9.8,5,2.65,2,yes
C00001979,NY,82,area_code_415,no,no,0,167.1,77,28.41,131.8,79,11.2,187.4,98,8.43,9.4,1,2.54,6,yes
C00001983,AL,119,area_code_415,no,no,0,98.8,97,16.8,146.9,68,12.49,190.7,105,8.58,10.0,4,2.7,3,no
C00001988,WV,84,area_code_408,no,no,0,86.0,83,14.62,260.7,86,22.16,98.6,109,4.44,8.9,4,2.4,1,no
C00001990,MI,61,area_code_415,no,no,0,188.9,105,32.11,153.6,116,13.06,213.3,106,9.6,10.2,2,2.75,2,no
C00001993,FL,98,area_code_408,no,no,0,288.1,101,48.98,137.9,93,11.72,206.5,88,9.29,0.0,0,0.0,0,no
C00001999,VA,118,area_code_408,no,no,0,154.8,71,26.32,244.0,73,20.74,159.6,81,7.18,12.8,4,3.46,0,no
C00002000,MT,102,area_code_408,no,no,0,273.2,85,46.44,211.1,82,17.94,203.7,129,9.17,13.1,7,3.54,2,yes
C00002003,KY,71,area_code_415,no,no,0,104.0,92,17.68,197.0,125,16.75,110.1,123,4.95,14.6,8,3.94,0,no
C00002010,VA,112,area_code_408,no,yes,29,198.8,122,33.8,238.6,114,20.28,289.5,69,13.03,11.5,5,3.11,1,no
C00002015,IL,100,area_code_415,no,no,0,191.9,95,32.62,200.9,101,17.08,271.9,74,12.24,18.2,3,4.91,1,no
C00002016,OH,114,area_code_415,no,no,0,187.8,109,31.93,154.6,97,13.14,213.9,102,9.63,10.1,3,2.73,2,no
C00002019,OR,51,area_code_510,no,no,0,51.8,107,8.81,230.2,104,19.57,227.5,118,10.24,10.4,4,2.81,2,no
C00002023,NJ,53,area_code_408,no,no,0,228.6,117,38.86,132.8,123,11.29,227.2,124,10.22,10.1,2,2.73,9,yes
C00002035,CO,128,area_code_510,no,no,0,199.3,86,33.88,194.8,102,16.56,298.2,82,13.42,14.3,2,3.86,4,no
C00002037,OK,177,area_code_408,no,no,0,175.4,99,29.82,155.3,83,13.2,179.4,86,8.07,11.5,3,3.11,1,no
C00002043,WA,56,area_code_408,no,no,0,210.4,80,35.77,176.6,96,15.01,149.7,56,6.74,15.5,4,4.19,1,no
C00002051,WI,89,area_code_415,no,no,0,326.3,112,55.47,165.1,110,14.03,162.9,97,7.33,7.5,1,2.03,1,yes
C00002065,MA,101,area_code_415,no,yes,21,238.0,88,40.46,209.6,84,17.82,233.0,95,10.49,10.0,5,2.7,2,no
